"state","Freq","logRatio","Ratio"
"AK",1134,-9.24520808228467,9.65733164349901e-05
"AL",7674,-7.33312129576547,0.000653530538202922
"AR",3538,-8.10739769185263,0.000301301934344793
"AZ",30015,-5.96926203088642,0.00255612706595787
"CA",24940,-6.15448634733834,0.00212393166833214
"CO",4503,-7.86621544627079,0.000383482931134709
"CT",160361,-4.2935317638663,0.0136566081100806
"DC",4600,-7.84490298409518,0.000391743611641053
"DE",17237,-6.52390105141797,0.00146793144214279
"FL",148868,-4.36789928033171,0.0126778452125609
"GA",39356,-5.69831084658671,0.00335162208255332
"HI",539,-9.98899899566337,4.59021318857669e-05
"IA",6105,-7.56185118002756,0.000519911901971441
"ID",5768,-7.61863388760758,0.000491212424335999
"IL",43281,-5.60324554795848,0.00368588157726879
"IN",83192,-4.9498080982323,0.00708476837818315
"KS",1680,-8.85216549417506,0.000143071579903689
"KY",4664,-7.83108583854204,0.000397193957542146
"LA",3577,-8.09643482731335,0.000304623238878271
"MA",101164,-4.75421632524952,0.0086152936365338
"MD",63416,-5.22124309205537,0.00540061149474544
"ME",24555,-6.17004378809902,0.00209114443127088
"MI",19725,-6.38907242085829,0.00167981363904778
"MN",18550,-6.45048949853678,0.0015797486947699
"MO",4114,-7.95656349635946,0.000350355047454629
"MS",4639,-7.83646046182062,0.000395064916174532
"MT",833,-9.55368092440552,7.09396583689125e-05
"NC",58871,-5.29561067811373,0.00501355177411314
"ND",636,-9.82351600323224,5.41628123921108e-05
"NE",2090,-8.63379522161351,0.000177987858332565
"NH",10327,-7.03619746290096,0.000879464408134164
"NJ",1080414,-2.38585970759208,0.0920098440059906
"NM",3746,-8.05027068356833,0.000319015558523345
"NV",2479,-8.46310403453717,0.000211115742012646
"NY",9193289,-0.244730247257697,0.782915703417384
"OH",27649,-6.05136972664118,0.00235463459092684
"OK",23475,-6.2150232624959,0.00199916984418994
"OR",6177,-7.55012657087647,0.000526043541110171
"PA",298877,-3.67092717007336,0.0254528598731398
"RI",15915,-6.60369722685617,0.00135534773462334
"SC",25418,-6.13550170313035,0.00216463893928093
"SD",1494,-8.9695022008796,0.000127231512128638
"TN",23628,-6.20852683814524,0.00201219957735974
"TX",33846,-5.84913846360433,0.00288238136513111
"UT",1222,-9.17047042684082,0.000104067542048993
"VA",81464,-4.97079808272086,0.00693760903885364
"VT",8284,-7.25663334405689,0.000705479147572714
"WA",6905,-7.43871350072897,0.000588041225735103
"WI",5438,-7.67754794137995,0.000463109078283488
"WV",2355,-8.51441856012185,0.000200555696829278
"WY",347,-10.4293897866255,2.95510941824881e-05
