"State","Freq","Ratio"
"AK",961,0.000106264085381921
"AL",5828,0.000644440259735521
"AR",2716,0.000300325968675648
"AZ",24245,0.00268092898031704
"CA",20100,0.00222258909071448
"CO",3663,0.000405041982054086
"CT",136973,0.0151460047523599
"DC",3728,0.000412229459213113
"DE",14643,0.00161917273907125
"FL",111887,0.0123720808752622
"GA",30837,0.00340984974081404
"HI",395,4.36777458125482e-05
"IA",7166,0.000792391712639798
"ID",5863,0.000648310439744228
"IL",31763,0.00351224364618726
"IN",49126,0.00543218466022086
"KS",1226,0.000135566876876415
"KY",3222,0.00035627771394438
"LA",2500,0.000276441429193343
"MA",78650,0.00869684736242256
"MD",50407,0.00557383324853953
"ME",19459,0.0021517095082693
"MI",16365,0.00180958559549962
"MN",12901,0.00142654835120933
"MO",2876,0.000318018220144022
"MS",3428,0.000379056487709912
"MT",622,6.87786275833037e-05
"NC",47117,0.00521003632772109
"ND",431,4.76585023929323e-05
"NE",1626,0.00017979750554735
"NH",9930,0.00109802535675596
"NJ",878677,0.0971610902717275
"NM",2936,0.000324652814444662
"NV",2131,0.000235638674244405
"NY",7029804,0.777331625883631
"OH",21995,0.00243213169404303
"OK",19688,0.00217703154318341
"OR",3484,0.000385248775723843
"PA",225760,0.0249637668218756
"RI",13296,0.00147022609702187
"SC",19529,0.00215944986828672
"SD",691,7.640841102904e-05
"TN",18396,0.00203416661257629
"TX",24092,0.00266401076485041
"UT",942,0.000104163130520052
"VA",60951,0.00673975262030537
"VT",7215,0.000797809964651987
"WA",5967,0.000659810403198671
"WI",5311,0.000587272172178337
"WV",1688,0.000186653252991345
"WY",300,3.31729715032011e-05
