"V1","V2"
"AL","275"
"AZ","149"
"AR","899"
"CA","774"
"CO","137"
"CT","4651"
"DE","501"
"FL","3542"
"GA","812"
"ID","192"
"IL","201"
"IN","919"
"IA","3048"
"KS","90"
"KY","145"
"LA","86"
"ME","3233"
"MD","1927"
"MA","485"
"MI","531"
"MN","424"
"MS","121"
"MO","144"
"MT","64"
"NE","1500"
"NV","33"
"NH","46"
"NJ","353"
"NM","25849"
"NY","86"
"NC","98"
"ND","149026"
"OH","470"
"OK","721"
"OR","198"
"PA","2051"
"RI","365"
"SC","185"
"SD","58"
"TN","396"
"TX","774"
"UT","82"
"VT","2103"
"VA","144"
"WA","277"
"WV","199"
"WI","106"
"WY","43"
